Title,URL,Genre,Plays,Plays for sorting,Publish Date
Magic Cat Academy 2,https://www.youtube.com/playables/Ugkxxyy0Dtls-hzx1duVf6WZtJgX08RAFjw0,Arcade,1.5 million plays,1500000,31 Oct 2024
Good Mood Food,https://www.youtube.com/playables/UgkxrsTPwDHdFPuNcgDbOf1ERGOMk7SwJTjR,Arcade,1.4 million plays,1400000,10 Aug 2026
Big Boom! Building Smash!,https://www.youtube.com/playables/UgkxJHcGpo9qm4k84NvN66aOg1Id29LQYryj,Action,1.4 million plays,1400000,5 Aug 2026
Burger Cafe!,https://www.youtube.com/playables/UgkxICF_Eno4AP05vIGPWM9lontzIsuEb_tH,Simulation,1.4 million plays,1400000,23 Jun 2026
Angry Gran Run,https://www.youtube.com/playables/Ugkx_sSbXj0jhmcb92EEDw5s2NBKj-qTgLAz,Arcade,1.4 million plays,1400000,22 May 2026
Bike Evolution Run!,https://www.youtube.com/playables/UgkxiZOvAsMGZn0ZV8VBGwnbvCsTH89FxuUh,Simulation,1.4 million plays,1400000,24 Apr 2026
Ant Kingdom Rush - Ant Game,https://www.youtube.com/playables/UgkxxIzFNp9T_Eo0aUCi6RCbiQqsRRF-nAer,Arcade,Ant Game – 1.4 million plays,1400000,24 Mar 2026
Snake Unjam,https://www.youtube.com/playables/UgkxhCX88gkG1-o7B_PuVtG3RaEQ8XHDVxfR,Brain and puzzle,1.4 million plays,1400000,10 Feb 2026
Traffic Tap Puzzle,https://www.youtube.com/playables/UgkxzvSrtPyRZHZtHK-uo30NcR0dEnZY3r3Z,Brain and puzzle,1.4 million plays,1400000,10 Feb 2026
Tap Away,https://www.youtube.com/playables/UgkxGg581anAuWbgBViImsQxAeN50D51_qH2,Brain and puzzle,1.4 million plays,1400000,28 Oct 2025
Sort Works: Nuts & Order,https://www.youtube.com/playables/UgkxiFZwjHdL_KH-2VlAZaD7Zna7yZXBGNZ9,Brain and puzzle,1.4 million plays,1400000,22 Oct 2025
Rope Sorting,https://www.youtube.com/playables/UgkxVxlDIWAwh5ttBv7iCW6nGmdX1dUxSKax,Brain and puzzle,1.4 million plays,1400000,15 Oct 2025
Street Ball Star,https://www.youtube.com/playables/UgkxNQ23Y5G6NcI72B7cfvFbujDGymcGBo80,Sport,1.4 million plays,1400000,24 Jun 2025
3D Darts,https://www.youtube.com/playables/UgkxCV48eYpYGVh5Q7kSfSJkSSJS_gQz3rdy,Sport,1.4 million plays,1400000,3 Jun 2025
Tiletopia,https://www.youtube.com/playables/Ugkx37BqByp15PUK6An6DLFaBtT6mi40ZoZ3,Brain and puzzle,1.4 million plays,1400000,3 Dec 2024
Sushi Grab,https://www.youtube.com/playables/UgkxXctP_Zj8QDUv5p9LsYCuW_xF9jM-P55w,Action,1.4 million plays,1400000,16 Jul 2024
Carrom Pool,https://www.youtube.com/playables/UgkxedNrTZi_SCEKez5ACucx64V0pgn0y00H,Multiplayer,1.4 million plays,1400000,
Street Shooter,https://www.youtube.com/playables/UgkxoIJhlkjsEgq4IjfZhm5pauiGtNHw1_nP,Action,1.3 million plays,1300000,21 Jul 2026
Field Master,https://www.youtube.com/playables/UgkxmmU4K6a0Nzyd-RvtSAQ_3eyqXx3xdOcI,Simulation,1.3 million plays,1300000,15 Jun 2026
Arrow Slide Puzzle,https://www.youtube.com/playables/UgkxpB1XDvMgbqrNQ6uHLcUV4EU4f-q6LgMr,Brain and puzzle,1.3 million plays,1300000,3 Apr 2026
Cricket World Cup,https://www.youtube.com/playables/UgkxmMxpdLEASqiBCQ26d4KE4MdKVw1AYDFl,Sport,1.3 million plays,1300000,2 Apr 2026
Epic Car Evolution,https://www.youtube.com/playables/Ugkx4nWCJ5T_0KIxVIHwsoAjZq5P-8QCIq2u,Racing,1.3 million plays,1300000,24 Mar 2026
Backrooms: The Playrooms,https://www.youtube.com/playables/UgkxFAGQ9epmCs89CErLkN1WkMcz9yJrbJOO,Simulation,1.3 million plays,1300000,20 Feb 2026
Pirate Pop,https://www.youtube.com/playables/UgkxWHqtW1FmHYXkDqChMiDHBk0yfbqSzW1N,Arcade,1.3 million plays,1300000,7 Jun 2023
Layer Man 3D: Run & Collect,https://www.youtube.com/playables/UgkxBlMprjQ9r2a-SVap693CvP4qEgOaSQRi,Action,1.2 million plays,1200000,6 Aug 2026
Traffic and Driving Simulator,https://www.youtube.com/playables/UgkxeF6n9LG3SSpGNRhokQkQjGvRzOMNTpMj,Simulation,1.2 million plays,1200000,6 Aug 2026
Save the Dog-Puzzle game,https://www.youtube.com/playables/Ugkx6YOHFBqt_Y5C8jABngKq-bGjDHj2v_ai,Brain and puzzle,Puzzle game – 1.2 million plays,1200000,4 Aug 2026
Build Your Dream Car,https://www.youtube.com/playables/Ugkxn1ZaHXYSeIoIjP2IR9Z1QaypO7Af_mHO,Racing,1.2 million plays,1200000,24 Jul 2026
Tiles In Hole,https://www.youtube.com/playables/UgkxsuLnJIh2kNjWeXsOIonetY1Lp6xq-2-c,Brain and puzzle,1.2 million plays,1200000,1 Jul 2026
Pizza Now!,https://www.youtube.com/playables/UgkxUZS3f7iIBIblx-ZZ9SRRsKgI9AK3nw5i,Simulation,1.2 million plays,1200000,15 Jun 2026
Dinosaurs Merge Master,https://www.youtube.com/playables/Ugkxai2SDxaWcR6G4gJdCPVnvWHV3R2lmTkS,RPG and strategy,1.2 million plays,1200000,28 Apr 2026
Bubble Pop Legend,https://www.youtube.com/playables/UgkxRIVq5s9qPttn5iR4EurLqHwZ3gFQp7CY,Brain and puzzle,1.2 million plays,1200000,20 Apr 2026
FrontWars.io,https://www.youtube.com/playables/UgkxzuBDNVFwyfZSVbb5UlL2_BwCoYmYCFIz,RPG and strategy,1.2 million plays,1200000,24 Mar 2026
Arrow Valley,https://www.youtube.com/playables/UgkxUBZ1cuboEBBeBAFML_zIna746ghiZ-0d,Arcade,1.2 million plays,1200000,24 Feb 2026
Guns & Bottles,https://www.youtube.com/playables/UgkxjXPEiFDQ8kxGhBG3vTJX_ydb-Ve9NBzZ,Action,1.2 million plays,1200000,3 Feb 2026
Solitaire Spider,https://www.youtube.com/playables/Ugkx1lC3s4V2JrEWRUd0luCO9r5yLTDpiiu9,Board and card,1.2 million plays,1200000,20 Jan 2026
Woodber,https://www.youtube.com/playables/Ugkxl6tzUWT7Itr9CvpBF3auXz_L9gnDGVce,Brain and puzzle,1.2 million plays,1200000,17 Dec 2025
Mahjongg Candy,https://www.youtube.com/playables/UgkxlZuKuQ-2yK9YQG-YfGvn25dINE4-gUaJ,Brain and puzzle,1.2 million plays,1200000,29 Jul 2025
Pengu Slide,https://www.youtube.com/playables/UgkxKDKc2GcvQuuRtnZ2wo53lmu36Cp7qgCh,Arcade,1.2 million plays,1200000,17 Jun 2025
Crystal Collapse,https://www.youtube.com/playables/UgkxFb5zwrXuhcip3ZwAuvwgpqeP46cJYBpa,Brain and puzzle,1.2 million plays,1200000,27 May 2025
Coloruid,https://www.youtube.com/playables/Ugkx38SY9leoakWiUx7rv-qYszsxL0-u-Qh8,Brain and puzzle,1.2 million plays,1200000,15 Apr 2025
Kitchen Bazar,https://www.youtube.com/playables/Ugkx1DoEIsU-uC55wcIa9ggf7w2twl_Cxk0t,Brain and puzzle,1.2 million plays,1200000,12 Nov 2024
Multiplayer Chess,https://www.youtube.com/playables/UgkxYeOuZ1A6dmjZ_-Gl9MORgyy_UmRkIUo6,Multiplayer,1.2 million plays,1200000,
Brain Bamboozle,https://www.youtube.com/playables/Ugkxxk8ewnN57R-J-b1yg5AdU_nCY_drHseK,Brain and puzzle,1.1 million plays,1100000,12 Aug 2026
Draw Action,https://www.youtube.com/playables/UgkxIXhlyuJRLKadPGRdM5OJ87kXPNDrRFuJ,Action,1.1 million plays,1100000,3 Aug 2026
Idle Vlogger Simulator,https://www.youtube.com/playables/UgkxAAG1xH0psYZULwGYGkM1XFlLfxBa0vnO,Simulation,1.1 million plays,1100000,8 Jul 2026
Drift Idle Drift Earn Upgrade,https://www.youtube.com/playables/UgkxQ6fM_Ri68oWHD95KEFeb31lBVVVrKRy_,Racing,1.1 million plays,1100000,21 May 2026
Futuristic Car Evolution,https://www.youtube.com/playables/UgkxjmPf3DoCeI_n5N5_fWiq8C1FsIsZ8_Ss,Racing,1.1 million plays,1100000,24 Apr 2026
Swing Shot,https://www.youtube.com/playables/Ugkxw96dTTVlZ9Yx9WFXuSJVEmJdCdNe2kzG,Arcade,1.1 million plays,1100000,3 Mar 2026
Block Canvas: Pixel Block Puzzle,https://www.youtube.com/playables/Ugkx_4Ii9APekI4roWULXnFBSk_z70998WQm,Brain and puzzle,1.1 million plays,1100000,17 Feb 2026
All in Hole,https://www.youtube.com/playables/UgkxCTkdRKSho-I5oMkLs4AAA4-Q2StnJ-ZY,Arcade,1.1 million plays,1100000,6 Jan 2026
Dangerous Crypts,https://www.youtube.com/playables/UgkxZ5beQmnQbnCx0X0v1LqIdtjDFJPj_rz6,RPG and strategy,1.1 million plays,1100000,18 Nov 2025
FRAG Pro Shooter Lite,https://www.youtube.com/playables/UgkxhXBBxqau157ZhD8OF1E0V4iN1K1NiTQv,Action,1 million plays,1000000,4 Aug 2026
Tank Stars,https://www.youtube.com/playables/Ugkx5GF7kDoNNP2mmmDTrmc781YSmUtHA8qx,Arcade,1 million plays,1000000,23 Jul 2026
Age of Clash,https://www.youtube.com/playables/UgkxTGmup6HC7HSxtPLHXFx2tlsA8DoSsDwh,Action,1 million plays,1000000,7 Jul 2026
Gun Play 3D,https://www.youtube.com/playables/UgkxsrfoTpz6DbNORCgKeZWe8nOccx5y-1RD,Action,1 million plays,1000000,3 Jul 2026
Draw To Smash Classic,https://www.youtube.com/playables/UgkxHKmb1lOdTBWIE-3KRgrZ5z_2_wmBhJVJ,Brain and puzzle,1 million plays,1000000,5 Jun 2026
Snake Jam!,https://www.youtube.com/playables/UgkxHIF1H0LE00prjQT71gLI_zzN5UjfxyWw,Brain and puzzle,1 million plays,1000000,28 May 2026
Arrow IQ: Logic Puzzle,https://www.youtube.com/playables/UgkxzVKWrxs-WIuJacfpAQ4FL5DdopYPD1k3,Brain and puzzle,1 million plays,1000000,8 May 2026
Block Master - Super Puzzle,https://www.youtube.com/playables/UgkxecPKX8zke4PfTmKSB5541q0RRli4L-Qx,Brain and puzzle,Super Puzzle – 1 million plays,1000000,5 May 2026
Match Triple 3D,https://www.youtube.com/playables/Ugkx-vRwyNn8VQ_982dGxKTwG99FsBJyVY-j,Brain and puzzle,1 million plays,1000000,17 Dec 2025
Jewel Shuffle,https://www.youtube.com/playables/UgkxUM_OovhNUNNOxVW0TIU2wk8G7lovh44l,Brain and puzzle,1 million plays,1000000,22 Apr 2025
Classic Mine Sweeper,https://www.youtube.com/playables/UgkxhpR_EFQxif6EFOQZKOss5-BadJj6TIvQ,Brain and puzzle,1 million plays,1000000,4 Mar 2025
RingyDingy,https://www.youtube.com/playables/Ugkxxll7kTr4LhP4-4IhRuQtaKFZuQDOPSiD,Brain and puzzle,1 million plays,1000000,18 Feb 2025
Cricket Hero,https://www.youtube.com/playables/UgkxTgpC4XvYRVY_5jlf_h0yiq8Ayvjyikt2,Sport,998 thousand plays,998000,1 Apr 2025
Luna And The Magic Maze,https://www.youtube.com/playables/UgkxF_EqNPNyrOvyvLKMD0PjhqgmFmUJovX1,Brain and puzzle,984 thousand plays,984000,15 Oct 2025
Hexa Stack,https://www.youtube.com/playables/UgkxqzjSpveQv8X7PR2-Sd4xh2wZnNPUIJtp,Brain and puzzle,979 thousand plays,979000,19 Jun 2026
Step Up,https://www.youtube.com/playables/Ugkxg6E1bAS2AxgFEYJoYsBogImzzn2CwLwt,Arcade,977 thousand plays,977000,17 Feb 2026
Bubble Pop: Dream Journey,https://www.youtube.com/playables/Ugkx8REmrvBZK5TX4I1g3rZkK19-XeD823Yf,Brain and puzzle,976 thousand plays,976000,2 Apr 2026
Sushi Roll,https://www.youtube.com/playables/UgkxXdDZHN0YAZBKap6geOAu2MySTC3-wu-V,Arcade,960 thousand plays,960000,8 Apr 2025
Leaf Blower Simulator,https://www.youtube.com/playables/UgkxjlylORfHL4Og7SLl_Y2SSU7uXKmiMImi,Simulation,943 thousand plays,943000,21 Jul 2026
Penalty Shooters 2 - football,https://www.youtube.com/playables/UgkxLDtjL4gS4COM1X42Rm_0EdTwppX9f4AJ,Sport,football – 940 thousand plays,940000,24 Mar 2026
Wood Block: Zen Puzzle,https://www.youtube.com/playables/UgkxJlenp3ljAJxh9x9dpfrUosDomq4oP3Tw,Brain and puzzle,939 thousand plays,939000,17 Mar 2026
Urgent Cases,https://www.youtube.com/playables/UgkxEbQc2_yWmEcTwFkKeKLnJzFmznwcWmcz,RPG and strategy,929 thousand plays,929000,7 Oct 2025
Lake Jump,https://www.youtube.com/playables/UgkxTmOh0nUnoFIGsvn5G3j6NH62di-d-N-I,Arcade,929 thousand plays,929000,1 Apr 2025
Magic Cat Academy 3,https://www.youtube.com/playables/UgkxigXKRfqd3ne0AuaZdM2tYXj0Xec-ceYO,Arcade,920 thousand plays,920000,3 Dec 2024
Tile Match Puzzle,https://www.youtube.com/playables/UgkxzbfqP1d_nnLHze73saLSXzW1vkfCeSNr,Brain and puzzle,907 thousand plays,907000,3 Sept 2025
Cryptogram: Cipher,https://www.youtube.com/playables/UgkxkEzGvGhMRAbSNPx0_mP4LwRYNALls7gC,Trivia and word,906 thousand plays,906000,20 Jan 2026
Merge Team Tactics,https://www.youtube.com/playables/UgkxdJ3rossrKdjsrtyYcW1dBMup_atnIJun,RPG and strategy,902 thousand plays,902000,25 May 2026
Sudoku Classic,https://www.youtube.com/playables/UgkxZ8DiQHWm8v22nWVz9-aloA7l-hZnHbxQ,Brain and puzzle,899 thousand plays,899000,23 Dec 2025
Merge World,https://www.youtube.com/playables/Ugkx-DD1qTlftKCKHtflQ6-a7EJosW2kMjJe,Brain and puzzle,878 thousand plays,878000,23 Sept 2025
Supercar Legends,https://www.youtube.com/playables/Ugkx9uaH2uFwQay-JiY1QVQ5Txwx0-zK3aQk,Arcade,868 thousand plays,868000,13 Aug 2026
Arrow Out,https://www.youtube.com/playables/UgkxUT5CLmqY0GPnHrEsKnmamCIFKB4Fz-Dy,Brain and puzzle,868 thousand plays,868000,2 Jun 2026
Highway Rush 3D,https://www.youtube.com/playables/UgkxpgIbtyYiAzSeecvFhHhdEyGlRnrY0ApQ,Racing,858 thousand plays,858000,29 Jul 2026
Screw Puzzle: Nut and Bolt,https://www.youtube.com/playables/UgkxtTLkhjZ8FrJ1WA6L7Il3bBi3Pgs7uiPY,Brain and puzzle,849 thousand plays,849000,17 Jun 2026
Totemia: Cursed Marbles,https://www.youtube.com/playables/UgkxNh6C069nBkRD0rUbf66TRvjOUmeLhC7e,Brain and puzzle,844 thousand plays,844000,18 Mar 2025
Basket Random,https://www.youtube.com/playables/Ugkx6ePBarcIFZ0LPBCCFguPDGhKjPuKJoCB,Sport,840 thousand plays,840000,24 Jun 2026
My Dream Pizza,https://www.youtube.com/playables/UgkxpFaseGVorzy8gePx1dtcDv0OLqTnkafM,Simulation,832 thousand plays,832000,1 Aug 2026
Tap 3D Wood block away,https://www.youtube.com/playables/UgkxPQ9AHF0YtXOEDXxqLt7sDoRQoXgJJB27,Brain and puzzle,824 thousand plays,824000,2 Apr 2026
Rage Maze Master!,https://www.youtube.com/playables/Ugkx-MfEDgBjb7TmVFuoKgj3n0oSpCRuryRR,Arcade,812 thousand plays,812000,5 Jun 2026
Mafia Wars,https://www.youtube.com/playables/UgkxK4YL9_XdS0dEz4Mk_UmDBxdRZSpMZy3k,Action,802 thousand plays,802000,16 Jul 2026
Neon Racer,https://www.youtube.com/playables/UgkxULl04shy34cozKG0ZyiWrKnNYIr-I-OQ,Racing,800 thousand plays,800000,8 Jun 2026
Construction Truck - Build a House,https://www.youtube.com/playables/Ugkxxx_1_NhwkBBBcOwtWbo650YNJq55MD78,Simulation,Build a House – 797 thousand plays,797000,12 Aug 2026
Head Ball 2,https://www.youtube.com/playables/UgkxkBIq4fSMS4DjJSqQXs_uzV4GVBjvhcjG,Sport,797 thousand plays,797000,2 Jun 2026
Meow Captcha,https://www.youtube.com/playables/UgkxmJHHfV-btH9fN0ut-2ixgoQUG0mUugiU,Brain and puzzle,795 thousand plays,795000,3 Mar 2026
Arena Kingdoms,https://www.youtube.com/playables/UgkxJmwg98icsWuce6d-z6eVUYILlovTRw86,RPG and strategy,793 thousand plays,793000,14 Jan 2025
Squid Hit,https://www.youtube.com/playables/UgkxAltsKUpdaUmYlf9RxiJkG5I7LVbcaG-Y,Action,792 thousand plays,792000,9 Jul 2026
Flow Blast,https://www.youtube.com/playables/Ugkxx3hZMVBJGtGHu0WDTyWFfiAYet0Lhqxd,Brain and puzzle,788 thousand plays,788000,24 Mar 2026
Happy Fruit Game!,https://www.youtube.com/playables/UgkxmLsWiiKbqT3cQGrYpPQn9uyCj73KvfVM,Arcade,783 thousand plays,783000,21 May 2026
Word Search Adventure,https://www.youtube.com/playables/UgkxF9DEF7Ri7Bxm7mmG8ziX8UCw8MRJZf6t,Trivia and word,775 thousand plays,775000,2 Jun 2026
Balloon Paradise,https://www.youtube.com/playables/Ugkx1aeiGJWB2bJbhjBb_PTPJ5qzFd4-erng,Brain and puzzle,775 thousand plays,775000,23 Dec 2025
Flappy FootChinko,https://www.youtube.com/playables/UgkxGtkDuznWvn6QagqbKGU-mmrVbxc0I5jw,Sport,771 thousand plays,771000,4 Feb 2025
Jigsawflow Solitaire Puzzle,https://www.youtube.com/playables/UgkxGvEOcGVYZEiBLQHzGtSGClXoBuuIotfp,Brain and puzzle,770 thousand plays,770000,16 May 2026
Ball Sort Puzzle,https://www.youtube.com/playables/UgkxymGcfTxrRACfjVMblMmTNw5m7sZCdz9q,Brain and puzzle,766 thousand plays,766000,27 Jan 2026
Iron Rail Defense,https://www.youtube.com/playables/UgkxhXkLKZQvA-R_RbYJTqwHQFEGred9OUpv,Action,765 thousand plays,765000,16 Dec 2025
Space Waves,https://www.youtube.com/playables/UgkxJbYIMnVmPT4rL77NzFsjUf3PaASqghIQ,Arcade,755 thousand plays,755000,7 Jul 2026
Jigpic Solitaire,https://www.youtube.com/playables/UgkxhZN1tfD7dPTiaxnGAYO_Kt7QxQPbfktA,Brain and puzzle,746 thousand plays,746000,24 May 2026
Jigsaw Cards: Daily Puzzle,https://www.youtube.com/playables/UgkxH9bYv7firnEaMREcowyAzLjuUg6a7Ayx,Brain and puzzle,736 thousand plays,736000,3 Apr 2026
Zip Zap,https://www.youtube.com/playables/UgkxRiEC5ViKHfTprF5zIJ3epnxuLvz8exCN,Brain and puzzle,735 thousand plays,735000,6 Jan 2026
Sugar Heroes,https://www.youtube.com/playables/Ugkx_iJjwfMZkfTbMPpM5Ow4l_uWZrgQvEKT,Brain and puzzle,729 thousand plays,729000,25 Nov 2025
Build an Aquapark,https://www.youtube.com/playables/Ugkx0k-JLPQ6zW43tEbwhjX3tbzs-wfPPwjL,Simulation,718 thousand plays,718000,18 Aug 2026
Magnet Balls: Addictive 🧲,https://www.youtube.com/playables/Ugkx-IgyJS4m9SgmZQ10nkcOzKTqFsxfuTzP,Brain and puzzle,717 thousand plays,717000,3 Jun 2026
Overtake City Run By @uk4deegames,https://www.youtube.com/playables/UgkxWZjq-sApt4MVpTZrTS9X_6ryytnXY8Ui,Racing,716 thousand plays,716000,29 Jul 2026
Men Vs Brainrot,https://www.youtube.com/playables/UgkxOIn6VpdRBefske9zBDqDX1zNE-icCPPM,Simulation,716 thousand plays,716000,7 Jul 2026
Road Gunner 3D,https://www.youtube.com/playables/UgkxK-27S-r_1BQP-0KGPZns5V_5UnMyb-Q8,Racing,707 thousand plays,707000,3 Jul 2026
Fruity Fiesta,https://www.youtube.com/playables/UgkxPWCArXXaO1QZWybkxY4gB_Zl5gQM7PUT,Arcade,705 thousand plays,705000,24 Feb 2026
Poker House,https://www.youtube.com/playables/Ugkxoth0rGqdDSCTsONqN38Qc7ebzqmnTapD,Board and card,698 thousand plays,698000,7 Oct 2025
Monster Truck Drift,https://www.youtube.com/playables/UgkxhWKW3BiDNlD-pn51if6ZfZr78_E7ygvu,Racing,692 thousand plays,692000,29 May 2026
Sliding Wave,https://www.youtube.com/playables/UgkxG_4u_WBiO6QV7_7TMXOaFexfimpCI9lM,Arcade,690 thousand plays,690000,23 Jul 2026
Bus Puzzle: Traffic Jam,https://www.youtube.com/playables/Ugkx2M1LiXhmaZVZsVpe0w0RBb_eWcPIv6xk,Brain and puzzle,684 thousand plays,684000,11 Jun 2026
Goods Tidy Puzzle,https://www.youtube.com/playables/Ugkx3tJldIN1OQ0iZ2BN2de5Gu9Xn1T6DSID,Brain and puzzle,675 thousand plays,675000,20 May 2026
Road Runner - Endless Running Adventure,https://www.youtube.com/playables/UgkxWtiT9eoq3zXbzKhuz9gVfiKmHu7GS6vU,Racing,Endless Running Adventure – 672 thousand plays,672000,10 Jun 2026
Girl Rescue: Dragon Out!,https://www.youtube.com/playables/UgkxQOqmECqdgebyhXJwuBNorpBcvYejC2p1,Brain and puzzle,671 thousand plays,671000,19 May 2026
Backrooms Maze,https://www.youtube.com/playables/UgkxeAJBszyxWSnnlKfnvhQSKa2x3QgZ0ZGu,RPG and strategy,671 thousand plays,671000,27 Jan 2026
Save The King : Puzzle Game,https://www.youtube.com/playables/Ugkx8oZOseMZ6EHK39H5Dx_s5cOcMiGYPj9h,Brain and puzzle,669 thousand plays,669000,20 Jan 2026
Chess Masters,https://www.youtube.com/playables/Ugkx76eRITVpfnIOTiEQ0sKuE6mdcv-ITglZ,Board and card,667 thousand plays,667000,27 May 2026
Infinity Loop,https://www.youtube.com/playables/UgkxHhX_lsZOHttiNvys6qCzz_VCw09jQwSG,Brain and puzzle,666 thousand plays,666000,16 Apr 2026
Comfy Farm,https://www.youtube.com/playables/UgkxHqTQRAb4AjyKJHxo2RIqkNxB9LKuJjjx,Simulation,666 thousand plays,666000,5 Aug 2025
Solitaire,https://www.youtube.com/playables/UgkxFdk62tM2jQLc9ct5zHzha9n-bR1MAIDi,Board and card,657 thousand plays,657000,17 Mar 2026
Flow Line Puzzles,https://www.youtube.com/playables/Ugkx-qxseeW4ZjfcVvuS4QSAxx-KqzqlP5VF,Brain and puzzle,655 thousand plays,655000,17 Mar 2026
Pirate Farm,https://www.youtube.com/playables/UgkxFqMHJxklWhQ791ggYfPpUxCHRLScFQPd,Simulation,654 thousand plays,654000,3 Mar 2026
Coloring: Mosaic by Symbols,https://www.youtube.com/playables/UgkxdD8qANWnd-zK_TctS_Na0SsgC-pwkpIL,Brain and puzzle,653 thousand plays,653000,4 Jun 2026
Work Is So Fun,https://www.youtube.com/playables/UgkxV5DbnZnaGMTclFmzLoPeEiPWeaQ-bnlX,Simulation,649 thousand plays,649000,12 Aug 2026
Zen Differences,https://www.youtube.com/playables/UgkxyFNufl3ar5DXzDGfg4PUPIKUZM31UOxY,Brain and puzzle,647 thousand plays,647000,9 Apr 2026
Archer: Trial by Fate,https://www.youtube.com/playables/UgkxCwert9sPpPMlicaofFgF7wNyFzQw5UHZ,Action,644 thousand plays,644000,30 May 2026
Cooking Mania - Food Frenzy,https://www.youtube.com/playables/UgkxWewz9zBFV1zG7XzsSXyJTY7a8OmzW9t3,Simulation,Food Frenzy – 637 thousand plays,637000,30 Apr 2026
2048 Merge Runner,https://www.youtube.com/playables/Ugkx7Cwb_O96RqeuFC1jRSwdzsJENMX6_Ndm,Action,636 thousand plays,636000,22 Jun 2026
Overtake Rush,https://www.youtube.com/playables/UgkxdMMn937HtOYEaJPpAKjbmhxKApaWrEja,Racing,636 thousand plays,636000,31 Mar 2026
Ultimate Survivor,https://www.youtube.com/playables/UgkxIDZk834ryslEou-zi0w-VhBS7U83XQsF,Action,629 thousand plays,629000,13 Jul 2026
BlockBuster Puzzle,https://www.youtube.com/playables/UgkxSzLp5UyKs7IW7_5TuY_T5dU8OJC4Z9rS,Brain and puzzle,627 thousand plays,627000,3 Apr 2026
Physics Ball,https://www.youtube.com/playables/UgkxlN6u8yXvTMn6uONsq-IX--HYEOxuQvie,Brain and puzzle,624 thousand plays,624000,20 Jan 2026
Hexa Sort,https://www.youtube.com/playables/UgkxempIa98uoMIImkDU71a64YOX6xHMj4I1,Brain and puzzle,623 thousand plays,623000,28 Apr 2026
Cozy Loom: Yarn Sort,https://www.youtube.com/playables/UgkxDUNDFK6HTyhNr2fWuuylEfrMBiWf_IVm,Brain and puzzle,618 thousand plays,618000,17 Jul 2026
Knot Off: Rope Puzzle,https://www.youtube.com/playables/UgkxoUZVIFY_1GAKzumMkFShbFLzSUSclv7z,Brain and puzzle,618 thousand plays,618000,2 Jul 2026
Classic Solitaire - Card Games,https://www.youtube.com/playables/Ugkx8Z9pkkNU4XsfIlKY3_eQWiuY5CBAoAJW,Board and card,Card Games – 605 thousand plays,605000,31 Mar 2026
Solitaire Collection,https://www.youtube.com/playables/UgkxOgxpFTZa7Ml2TRw1lt_iJ0RKUzdLN7Xt,Board and card,598 thousand plays,598000,17 Feb 2026
Pixel Color Flow,https://www.youtube.com/playables/UgkxEjVjC-nQVzN8poX-wH-WG8LbXuPa4Zx6,Brain and puzzle,594 thousand plays,594000,12 Jun 2026
Hotfoot Baseball,https://www.youtube.com/playables/UgkxO1ojqla475OtqFPpgxNnSNuznOwzPkSK,Sport,593 thousand plays,593000,21 May 2026
Aircraft Evolution 3d,https://www.youtube.com/playables/Ugkx9GVPd9TLqsHII7l1zNGbzOXulDwfU9TS,Action,590 thousand plays,590000,9 Apr 2026
Dash and Slash,https://www.youtube.com/playables/UgkxUr06CYfWM5upRJvzFar882ITlYVeiiLf,Action,584 thousand plays,584000,14 Aug 2026
Words Crosswords,https://www.youtube.com/playables/UgkxNlCd1pFDU_T0rZ6W-9AC4wRcJeRDHM16,Trivia and word,584 thousand plays,584000,6 May 2026
Traffic Racer 2,https://www.youtube.com/playables/UgkxKyDJzSqbZ_s8NcDA9tAUlbbVlVgNp-xj,Racing,584 thousand plays,584000,7 Apr 2026
Club Guard,https://www.youtube.com/playables/UgkxuMmrZpAUpejPSSpLnp6nFhSOsZXtMzH-,Simulation,583 thousand plays,583000,18 Aug 2026
Mahjong Pop,https://www.youtube.com/playables/UgkxrgPJuDQqZpzZA0i4WGjH66crWRx7eJGc,Brain and puzzle,582 thousand plays,582000,2 Apr 2026
Football Legends,https://www.youtube.com/playables/UgkxVZ1qm7R564Z2aWrRoGVratW9r_uNxVtP,Sport,580 thousand plays,580000,24 Jul 2026
Arrow Tap Puzzle 🏹,https://www.youtube.com/playables/UgkxA2Vy1kJNpQ3JICjqXSOr9WW7e179A_cD,Brain and puzzle,578 thousand plays,578000,15 Jun 2026
Gas Station Simulator,https://www.youtube.com/playables/UgkxUipzcQNfacX0vjsG5fdUwQZ3e1gaPr5p,Simulation,577 thousand plays,577000,15 Aug 2026
Neon Rolling Ball,https://www.youtube.com/playables/UgkxBRvVpaaKFggP8yGbPlK7_Mnx6uzHmmNZ,Arcade,576 thousand plays,576000,13 Aug 2026
Stickman 3D Airplane,https://www.youtube.com/playables/Ugkx0KCdKfCQ58fsguofYY5QDSpvFpPd7QkP,Sport,573 thousand plays,573000,22 Apr 2026
Snow train odyssey,https://www.youtube.com/playables/Ugkx2XlILgYmCkfHe8aLIzUVMkvXYDN1a5oj,Arcade,572 thousand plays,572000,8 Jun 2026
Snake Puzzle,https://www.youtube.com/playables/UgkxqqC0gVK19yJlkIpAuUKVLKJC3wG3P1bH,Brain and puzzle,568 thousand plays,568000,22 May 2026
Robot Rush,https://www.youtube.com/playables/Ugkxv-7m9o0Eu-fj7lWP3-xdK6ONGtbEUM1l,Arcade,567 thousand plays,567000,29 Jun 2026
