Title,URL,Genre,Plays,Plays for sorting,Publish Date
Slice It All!,https://www.youtube.com/playables/UgkxL3SoK1bXuffeVzvH1UPMHuz0YH2AYn_l,Arcade,25 million plays,25000000,5 Apr 2024
Running Pet Dec Room,https://www.youtube.com/playables/UgkxSn6arpQ-bwXk8YOEjg-y0JFVHzfucj16,Action,25 million plays,25000000,13 Feb 2024
BlockDrop,https://www.youtube.com/playables/UgkxgXYOIm4FNBLx2Pqcsm2uLVNL6-yY9JxN,Brain and puzzle,25 million plays,25000000,6 Feb 2024
Turbo Stars,https://www.youtube.com/playables/Ugkx8eqwWlf7fJiVSU7f7LL62Vp0cucAs3a-,Racing,25 million plays,25000000,16 Jan 2024
Cat Escape,https://www.youtube.com/playables/UgkxsUoo0b5nMQGyozuMQ7H25m52OWmJquQJ,Brain and puzzle,24 million plays,24000000,27 May 2025
Scooter Xtreme,https://www.youtube.com/playables/UgkxeIG5erzthQsBVVs1sCMhJTrLdLAb7v5c,Racing,24 million plays,24000000,7 Jun 2023
Epic Plane Evolution,https://www.youtube.com/playables/UgkxcT8M5bNG1kGoKdTlFWee_ugvWJhkkT-Y,Simulation,23 million plays,23000000,3 Sept 2025
Parking Rush,https://www.youtube.com/playables/UgkxcSxLjNYf58a2lLk63i35dludNosUUk3K,Brain and puzzle,23 million plays,23000000,4 Feb 2025
Color Water Sort 3D,https://www.youtube.com/playables/Ugkxt5LdUBSZPWDLNRcH-IDpCRYXlBSRbTdh,Brain and puzzle,23 million plays,23000000,19 Nov 2024
Color Match,https://www.youtube.com/playables/UgkxK2uVzxmj4-7yUnbU8mSs0hX9XwdGZ_Pd,Brain and puzzle,23 million plays,23000000,30 Jan 2024
Goods Puzzle: Sort Challenge,https://www.youtube.com/playables/Ugkxq_6XlcO-sE5jjnkzjoSLjy3oJ3y85-zP,Brain and puzzle,22 million plays,22000000,22 Apr 2025
Attack Hole,https://www.youtube.com/playables/UgkxilX40LwBis1WdtTChkyvueeqxud-mNy2,Arcade,22 million plays,22000000,30 Jul 2024
Cut The Rope,https://www.youtube.com/playables/Ugkx2d5qQg5_Snq2mIm4BC1tyrHkdS_2daYs,Brain and puzzle,21 million plays,21000000,19 Dec 2023
Words of Wonders,https://www.youtube.com/playables/UgkxPFCtv4YicBUoaAB3qI5p2_k96YzBpj0x,Trivia and word,21 million plays,21000000,15 Aug 2023
Man Runner 2048,https://www.youtube.com/playables/UgkxZBdWfRoOpQnokWIlyRNIBk3Jsi5RqQkS,Arcade,20 million plays,20000000,3 Mar 2026
Ice Cream Inc - ASMR - DYI,https://www.youtube.com/playables/UgkxiyDQJxIRSjbRuUV--DGv4pUKo8BmwHKG,Simulation,ASMR - DYI – 20 million plays,20000000,15 Oct 2025
Clean It: Restaurant Cleanup,https://www.youtube.com/playables/Ugkxg96n-JiNmJPfquVuY_zjQIMTHmqs7qxu,Simulation,20 million plays,20000000,5 Aug 2025
